id,year,budget_type,revenue,expenditure,budget_balance,revenue_category,expenditure_category,region,agency,budget_planned,budget_executed,execution_rate,program_code,program_name,subProgram_code,subProgram_name,amount
1,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,образование,республиканский уровень,Министерство образования и науки РК,2800000000000,2650000000000,94.6,1,Развитие образования,001-1,Дошкольное и среднее образование,1200000000000
2,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,здравоохранение,республиканский уровень,Министерство здравоохранения РК,2200000000000,2090000000000,95.0,2,Развитие здравоохранения,002-1,Первичная медико-санитарная помощь,950000000000
3,2024,местный,7200000000000,7450000000000.0,-250000000000.0,налоги,социальная помощь,Алматы,Акимат г. Алматы,850000000000,820000000000,96.5,3,Социальная поддержка населения,003-1,Адресная социальная помощь,420000000000
4,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,оборона,республиканский уровень,Министерство обороны РК,1800000000000,1750000000000,97.2,4,Обеспечение обороноспособности,004-1,Содержание вооруженных сил,1200000000000
5,2024,местный,4800000000000,4950000000000.0,-150000000000.0,налоги,транспорт,Астана,Акимат г. Астана,650000000000,635000000000,97.7,5,Развитие транспортной инфраструктуры,005-1,Дорожное строительство,380000000000
6,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,государственные услуги,республиканский уровень,Министерство юстиции РК,450000000000,425000000000,94.4,6,Обеспечение правопорядка,006-1,Правоохранительная деятельность,280000000000
7,2024,местный,3200000000000,3350000000000.0,-150000000000.0,неналоговые,жилищно-коммунальное хозяйство,Шымкент,Акимат г. Шымкент,420000000000,400000000000,95.2,7,Развитие ЖКХ,007-1,Водоснабжение и водоотведение,250000000000
8,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,экономические вопросы,республиканский уровень,Министерство национальной экономики РК,1200000000000,1150000000000,95.8,8,Развитие экономики,008-1,Поддержка предпринимательства,580000000000
9,2024,местный,2800000000000,2950000000000.0,-150000000000.0,налоги,образование,Карагандинская область,Акимат Карагандинской области,380000000000,365000000000,96.1,1,Развитие образования,001-2,Высшее образование,180000000000
10,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,охрана окружающей среды,республиканский уровень,Министерство экологии РК,320000000000,305000000000,95.3,9,Охрана окружающей среды,009-1,Экологический мониторинг,180000000000
11,2024,местный,2500000000000,2620000000000.0,-120000000000.0,налоги,здравоохранение,Восточно-Казахстанская область,Акимат ВКО,280000000000,270000000000,96.4,2,Развитие здравоохранения,002-2,Специализированная медицинская помощь,140000000000
12,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,культура и спорт,республиканский уровень,Министерство культуры и спорта РК,280000000000,265000000000,94.6,10,Развитие культуры и спорта,010-1,Культурное наследие,150000000000
13,2024,местный,2200000000000,2300000000000.0,-100000000000.0,неналоговые,социальная помощь,Западно-Казахстанская область,Акимат ЗКО,220000000000,210000000000,95.5,3,Социальная поддержка населения,003-2,Социальные пособия,120000000000
14,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,сельское хозяйство,республиканский уровень,Министерство сельского хозяйства РК,650000000000,620000000000,95.4,11,Развитие АПК,011-1,Субсидирование АПК,380000000000
15,2024,местный,1950000000000,2020000000000.0,-70000000000.0,налоги,транспорт,Южно-Казахстанская область,Акимат ЮКО,190000000000,185000000000,97.4,5,Развитие транспортной инфраструктуры,005-2,Общественный транспорт,95000000000
16,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,энергетика,республиканский уровень,Министерство энергетики РК,850000000000,800000000000,94.1,12,Развитие энергетики,012-1,Альтернативная энергетика,420000000000
17,2024,местный,1800000000000,1850000000000.0,-50000000000.0,налоги,жилищно-коммунальное хозяйство,Северо-Казахстанская область,Акимат СКО,170000000000,165000000000,97.1,7,Развитие ЖКХ,007-2,Теплоснабжение,85000000000
